date,close,ret_1d_%,ret_3d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%
20220526,2612.45,0.9799230607284493,2.8115370629103076,2.2277938333748137,-4.1317537177744885,-8.058718827154577,-6.779459893969253
20220527,2638.05,1.1982335437159986,0.7937681241826144,-0.44388847823202404,-5.49951668846308,-8.186349765925593,-7.22503364227366
20220530,2669.66,0.6083171639834406,0.03708337391279404,-1.6297955544900766,-8.326153892255938,-10.925361281960999,-7.20691024325194
20220531,2685.9,-1.001898804869883,-2.217506236270894,-2.2510145575040053,-8.730406939945645,-13.152388398674564,-7.6276108566960765
20220602,2658.99,0.43851236747789457,-1.2350554157781635,-2.3738336736881305,-8.200858220602559,-13.297154182603155,-8.728878258286043
20220603,2670.65,-1.6591466496920226,-1.692846310823204,-6.220957444816799,-10.470110272780031,-13.8659127927658,-8.22721060416004
20220607,2626.34,-0.007234402248001981,-1.1601696657706273,-5.078169620079665,-8.27805996177191,-10.834850019418651,-5.874715383385243
20220608,2626.15,-0.0270357748034189,-4.631875559278786,-6.807303467052527,-10.789178074367422,-12.723568722274049,-8.017059193115394
20220609,2625.44,-1.1262874032543224,-5.045630446706085,-6.628603205557937,-11.850204156255707,-11.090331525382414,-8.228335060028035
20220610,2595.87,-3.5194366435915336,-5.720240227746376,-5.96871183842026,-8.832106384372096,-9.448084842461292,-7.403683543474826
20220613,2504.51,-0.4607687731332799,-2.1201752039321176,-4.5310260290436055,-4.096210436372793,-6.557769783310919,-3.7727938798407745
20220614,2492.97,-1.8287424236954175,-2.0874699655431095,-3.3710794754850615,-2.84319506452142,-7.028163194904058,-4.6735420001042804
20220615,2447.38,0.16466588760224443,-2.302462224909896,-4.272732473093677,-2.8352769083673235,-4.852944781766622,-2.578267371638243
20220616,2451.41,-0.4275090662108738,-1.7328802607478933,-5.592291783096249,-4.844966774223813,-5.265948984461987,-0.07628262918075723
20220617,2440.93,-2.0443027862330987,-4.019779346396657,-3.045150823661469,-5.551572556361705,-4.504430688303218,-1.208965435305387
20220620,2391.03,0.7486313429776903,-3.2082407999899587,0.45545225279481905,-3.7929260611535676,-0.6599666252619207,0.45168818458989346
20220621,2408.93,-2.7447871046481165,-1.7572117081027683,0.5463006397031123,-2.78754467751241,-1.5758033649794778,-1.0855442042732477
20220622,2342.81,-1.2160610548870743,2.523038573337155,1.5016155812891396,-2.1683363140843626,1.8797939226825822,0.5484866463776328
20220623,2314.32,2.258978879325224,4.65665940751494,0.7915932109647583,0.8620242663071487,4.097963980780528,2.3129904248331945
20220624,2366.6,1.4924364066593476,0.48128116284964495,-2.5851432434716437,-0.6756528352911295,1.1214400405645142,-0.81931885405222
20220627,2401.92,0.8397448707700539,-2.884359179323215,-4.229116706634695,-2.5666966426858506,0.07369104716226094,-2.8980981881161827
20220628,2422.09,-1.820741590940067,-4.816914317799914,-3.3157314550656625,-4.307436965595823,-0.3769471819792036,-5.4535545747680825
20220629,2377.99,-1.907072779952812,-3.265362764351387,-3.615658602433125,-2.076543635591388,1.5786441490502678,-6.604317091325019
20220630,2332.64,-1.166918169970499,0.39183071541259995,0.06987790657795312,-0.4424171753892425,4.399735921530978,-4.66338569174839
20220701,2305.42,-0.22035030493359198,-0.5816727537715449,1.9601634409348367,1.1086916917524725,6.3363725481691,-5.90478090760036
20220704,2300.34,1.8014728257562007,1.4749993479224788,1.7358303555126575,3.2564751297634142,6.603806393837419,-5.62569011537426
20220705,2341.78,-2.125306390865067,0.37706360119225124,-1.0257154813859581,1.2464877144735986,4.1780184304247125,-7.9550598262860035
20220706,2292.01,1.8437964930344775,2.105575455604458,1.5968516716768244,4.1378528016893235,7.392637902975974,-3.605132612859463
20220707,2334.27,0.7000047123940201,-0.7072875031594372,-0.511937350863434,3.208283531896483,5.94789805806526,-5.100095533078875
20220708,2350.61,-0.4398858168730757,-0.9359272699426935,-0.8351023776806965,1.8093175813937545,5.963983816966656,-4.79662725845632
20220711,2340.27,-0.9618548287163353,-0.7670055164574974,1.4946993295645417,2.7099437244420654,6.53044306853483,-4.590495968413899
20220712,2317.76,0.46812439596852773,0.570378296286056,2.2957510699985972,4.1074140549495874,8.012046113488868,-5.422908325279585
20220713,2328.61,-0.2701182250355316,2.002911608212621,2.5010628658298284,3.732698906214438,6.53909413770446,-5.416965485847792
20220714,2322.32,0.3729029591098554,2.0948878707499174,3.7393640841916653,4.863670811946674,8.674945743911255,-6.865978848737486
20220715,2330.98,1.899201194347433,2.3968459617843108,2.6666895468858476,5.170357532025149,8.449664947790204,-5.08069567306454
20220718,2375.25,-0.18019155878329363,1.4276391958741197,1.1973476476160316,3.2417640248394886,6.66329860014736,-6.548363330175766
20220719,2370.97,0.6697680696086561,0.9350603339561392,1.771005116049551,2.895439419309409,6.136728849373885,-5.1042400367781955
20220720,2386.85,0.9347047363680083,0.7055323962544824,1.2015836772315103,3.12545823993966,5.07782223432558,-6.259714686720985
20220721,2409.16,-0.6649620614654017,0.15773132544123492,1.0837802387554163,2.6544521742018157,3.4671835826595165,-7.930980092646389
20220722,2393.14,0.44084341074905886,0.9355908973148308,2.438637104390051,4.0808310420619165,2.898284262517037,-7.522334673274445
20220725,2403.69,0.3856570522821068,1.313813345314907,2.020227233961114,3.71969763155815,1.3167255344907147,-6.969700751760843
20220726,2412.96,0.10650818911213111,1.597208407930517,1.1048670512565417,3.750580200251963,1.4293647636098417,-7.3722730588157255
20220727,2415.53,0.8172119576241865,1.5201632767963824,1.9010320716364326,2.7054104068258367,2.5555468158126704,-6.8709558564787105
20220728,2435.27,0.6664558755292038,0.1786249573969112,1.5538318133102358,3.634504592919896,1.8790524253984309,-6.01534942737355
20220729,2451.5,0.030593514175003556,0.4058739547215806,1.6031001427697422,3.118090964715492,-1.0038751784621658,-7.46889659392208
20220801,2452.25,-0.5150372107248447,0.8506473646651136,1.6658171067386984,3.314099296564388,-0.053828117035381595,-6.46916097461514
20220802,2439.62,0.8948114870348522,2.097867700707501,2.6168009772013834,3.1500807502807815,1.3293053836253232,-4.279354981513517
20220803,2461.45,0.4737045237563242,1.2858274594243158,0.789372118060494,1.893193036624763,-1.8623169270145512,-5.061244388470209
20220804,2473.11,0.7152936990267422,1.227199760625286,2.0488372939335475,0.7917156940047132,-2.5757042751838877,-5.8202020937200505
20220805,2490.8,0.09233981050262852,-0.39826561747230427,1.4910872008992992,-1.1361811466195637,-3.497671430865601,-5.715834270114028
20220808,2493.1,0.4155469094701436,1.2305964461915009,1.6212747182222875,-2.3167943524126544,-3.3323974168705583,-4.8658296899442455
20220809,2503.46,-0.9019516988487908,0.977846660222248,0.519680761825625,-2.2373035718565637,-5.072978997068056,-4.171027298219265
20220810,2480.88,1.7292251136693526,2.1218277385443907,1.0951759053239307,-0.1459159653026343,-3.893779626584115,-2.2762084421656947
