종목코드,종목명,시장,종가
010640,진양폴리,KOSPI,3720
100250,진양홀딩스,KOSPI,3315
051630,진양화학,KOSPI,2755
272450,진에어,KOSPI,6980
011000,진원생명과학,KOSPI,2010
002780,진흥기업,KOSPI,742
002787,진흥기업2우B,KOSPI,8310
002785,진흥기업우B,KOSPI,3910
025620,차AI헬스케어,KOSPI,12110
009310,참엔지니어링,KOSPI,1108
000650,천일고속,KOSPI,426000
033250,체시스,KOSPI,1037
035720,카카오,KOSPI,57900
323410,카카오뱅크,KOSPI,21200
377300,카카오페이,KOSPI,45100
006380,카프로,KOSPI,3660
001620,케이비아이동국실업,KOSPI,493
029460,케이씨,KOSPI,24600
281820,케이씨텍,KOSPI,35350
381970,케이카,KOSPI,16640
145270,케이탑리츠,KOSPI,967
417310,코람코더원리츠,KOSPI,8300
357120,코람코라이프인프라리츠,KOSPI,4295
007815,코리아써우,KOSPI,10190
007810,코리아써키트,KOSPI,33900
00781K,코리아써키트2우B,KOSPI,9190
003690,코리안리,KOSPI,11590
192820,코스맥스,KOSPI,169900
044820,코스맥스비티아이,KOSPI,13960
005070,코스모신소재,KOSPI,49800
