종목코드,업종
314130,기술성장기업부
002390,기타
294140,기타
011560,기타
019680,기타
417970,기타
004310,기타
018470,기타
009580,기타
084650,기타
463020,기술성장기업부
460940,기술성장기업부
211270,기타
458650,벤처기업부
000860,기타
215100,벤처기업부
452280,기타
317400,기타
263720,벤처기업부
123690,기타
000390,기타
092070,기타
003460,기타
009070,기타
008040,기타
066410,관리종목(소속부없음)
098120,기타
046070,관리종목(소속부없음)
305090,기술성장기업부
011690,기타
070960,기타
052330,기타
003830,기타
036710,기타
005160,기타
008970,기타
008110,기타
067000,기타
158430,벤처기업부
143240,기타
122990,기타
123330,벤처기업부
000700,기타
107590,기타
047310,기타
297890,기타
388050,벤처기업부
049720,기타
095720,기타
00279K,기타
104480,기타
002990,기타
327260,벤처기업부
006805,기타
214680,벤처기업부
089600,기타
382150,기술성장기업부
015890,기타
086980,기타
205470,기타
035000,기타
445180,기타
023600,기타
217730,기술성장기업부
008830,기타
069460,기타
053080,기타
032300,기타
264660,기타
443670,기타
037070,기타
094280,기타
282720,기타
053580,기타
187660,기타
489500,벤처기업부
014950,벤처기업부
068790,관리종목(소속부없음)
192440,기타
109610,기타
004970,기타
136540,기타
021080,기타
350520,기타
063570,기타
298000,기타
078000,기타
013990,기타
005990,기타
031440,기타
041440,기타
104460,기타
014710,기타
099750,벤처기업부
322180,벤처기업부
214390,기타
138080,벤처기업부
039980,기타
024090,기타
290550,기타
377480,기술성장기업부
052710,기타
210540,기타
052420,기타
205100,벤처기업부
004250,기타
091120,기타
071280,기타
251120,기술성장기업부
264450,기타
363280,기타
000230,기타
092040,기술성장기업부
010100,기타
016710,기타
071200,관리종목(소속부없음)
059210,기타
096240,기타
226590,기술성장기업부
067990,기타
017510,기타
007540,기타
003480,기타
149950,기타
475230,벤처기업부
220260,기타
092220,기타
009780,기타
019180,기타
030960,기타
123040,기타
126730,벤처기업부
080420,기타
131370,벤처기업부
027970,기타
418420,기술성장기업부
045970,기타
077500,기타
083500,기타
095190,기타
072870,기타
005800,기타
101170,벤처기업부
033180,기타
191420,벤처기업부
078140,기타
337930,기타
362320,기타
462350,기술성장기업부
005960,기타
139990,기타
008350,기타
019440,기타
365270,기술성장기업부
049470,기타
219130,기타
089470,기타
408920,벤처기업부
248170,기타
044820,기타
014580,기타
474170,기술성장기업부
002620,기타
003100,기타
020120,기타
052260,기타
269620,관리종목(소속부없음)
278650,기타
063170,기타
049960,벤처기업부
029480,기타
027710,기타
424960,기술성장기업부
054050,기타
298540,기타
475580,벤처기업부
032940,기타
402490,기술성장기업부
038110,기타
205500,기타
226400,기술성장기업부
068240,벤처기업부
004150,기타
004080,기타
079430,기타
058630,기타
007110,기타
106190,기타
041920,기타
093640,투자주의환기종목(소속부없음)
004960,기타
054800,기타
086960,기타
002460,기타
354320,기술성장기업부
004140,기타
048530,기술성장기업부
309960,벤처기업부
267290,기타
001360,기타
142210,기타
950130,외국기업(소속부없음)
255440,벤처기업부
274090,기술성장기업부
443250,벤처기업부
101670,기타
012610,기타
361390,벤처기업부
002200,기타
366030,기타
086670,기타
246720,벤처기업부
060570,기타
331740,기술성장기업부
382840,기타
039560,기타
021320,기타
388870,기술성장기업부
011280,기타
267850,기타
085670,기타
120030,기타
006660,기타
060590,기타
163280,기술성장기업부
136410,벤처기업부
000105,기타
115500,기타
303810,기타
140670,벤처기업부
058850,기타
005860,기타
187790,벤처기업부
105550,기타
015590,기타
012320,기타
147830,벤처기업부
039340,기타
311690,기술성장기업부
296160,일반기업부
459550,기타
017370,기타
214330,기타
131030,기타
090850,기타
048550,기타
021820,기타
007210,기타
011330,기타
083790,벤처기업부
025620,기타
018120,기타
006840,기타
001540,기타
453450,벤처기업부
049430,기타
418470,기타
013360,기타
207760,기타
039860,기타
068290,기타
079810,기타
451760,기술성장기업부
013570,기타
253840,벤처기업부
019010,기타
175140,투자주의환기종목(소속부없음)
317830,벤처기업부
014530,기타
063160,기타
246710,기술성장기업부
033290,기타
411080,기술성장기업부
119830,기타
013310,기타
223250,기타
101140,기타
100130,기타
299900,기타
023900,기타
201490,기타
003060,기타
036630,기타
047820,기타
041590,관리종목(소속부없음)
034590,기타
002220,기타
290670,기타
063080,기타
217950,일반기업부
214260,기술성장기업부
014160,기타
452190,벤처기업부
317870,기술성장기업부
093190,기타
092190,기타
950190,외국기업(소속부없음)
086710,기타
227840,기타
019550,벤처기업부
125020,기타
017550,기타
264900,기타
012800,기타
396470,기타
463480,기타
046120,기타
203400,기술성장기업부
206560,기술성장기업부
03473K,기타
010660,기타
067900,기타
293580,벤처기업부
204610,벤처기업부
016740,기타
134580,기타
001020,기타
347890,벤처기업부
480370,기타
014970,기타
005870,기타
013520,기타
003580,기타
056090,벤처기업부
014790,기타
419050,기타
370090,기술성장기업부
047770,기타
024880,기타
026150,기타
011810,기타
208370,벤처기업부
124560,기타
054920,기타
002450,기타
100700,기타
33626K,기타
163730,벤처기업부
043610,기타
348150,기술성장기업부
417500,기타
073560,기타
225530,기타
396690,기타
277880,기타
093920,기타
041930,기타
067830,기타
066700,벤처기업부
042510,벤처기업부
017900,기타
322510,기술성장기업부
950220,외국기업(소속부없음)
023450,기타
391710,벤처기업부
232680,기술성장기업부
051160,기타
085310,기타
009300,기타
044340,기타
125210,기타
048910,기타
000180,기타
064800,기타
005740,기타
067570,기타
065450,벤처기업부
408900,기타
011700,기타
085910,기타
289930,기술성장기업부
040420,기타
002780,기타
049520,기타
105740,기타
032560,기타
380540,벤처기업부
102370,기술성장기업부
289220,기술성장기업부
012700,기타
187870,기타
110790,기타
023800,기타
352090,기타
119650,기타
012860,기타
166480,벤처기업부
302550,기술성장기업부
081180,기술성장기업부
014440,기타
082850,벤처기업부
000440,기타
357230,기타
