종목코드,종목명,기준일,업종,종가,거래대금(억원),RSI14,MFI14,MACD_Slope,BandWidth,ret_5d_%,ret_10d_%,ret_60d_%,rel_60d_%,EBS,근거,추천매수가,손절가,추천매도가1,RR1,Now%,ma20_above,업종_대분류,Sector_Mom_5d,LDY_SCORE,ENTRY_SCORE,ROUTE,REGIME
021240,코웨이,20251212,그외 기타 개인 서비스업,86200,344.2,51.2,65.5,49.28553,7.0,-1.93,0.23,-13.89,-36.61,3,"수급↑,Squeeze",86200,80692,94460,1.5,0.0,0,기타,5.58321554770318,65.9,92.5,⚡ Squeeze (급변동 임박),④ 바닥 반등 시도
097230,HJ중공업,20251212,토목 건설업,24200,986.4,68.7,77.5,108.89089,21.9,9.5,16.35,-23.17,-45.89,3,수급↑,21855,19669,25133,1.5,10.73,1,기타,5.58321554770318,65.9,52.5,🔺 Watch (상승 준비),④ 바닥 반등 시도
241560,두산밥캣,20251212,특수 목적용 기계 제조업,62300,283.0,64.5,51.9,160.21241,14.5,4.18,12.86,14.94,-7.78,3,,57425,52867,64260,1.5,8.49,1,조선·기계·방산,6.275344827586206,65.8,58.5,🔻 REV (역추세 반등),④ 바닥 반등 시도
141080,리가켐바이오,20251212,자연과학 및 공학 연구개발업,176200,974.5,52.9,53.3,-827.67742,16.7,-5.01,-8.85,14.12,3.46,1,,176200,158580,202630,1.5,0.0,0,기타,5.58321554770318,65.7,92.5,↩️ PULL (눌림),③ 박스 / 중립
000880,한화,20251212,기타 화학제품 제조업,84800,172.2,69.4,58.0,134.47202,15.6,3.04,6.8,-1.17,-23.89,2,,82215,76857,90250,1.5,3.14,1,기타,5.58321554770318,65.7,79.9,🔻 REV (역추세 반등),④ 바닥 반등 시도
114190,강원에너지,20251212,기타 전기장비 제조업,16380,113.4,68.3,77.5,0.81172,19.2,7.91,9.05,43.68,33.02,3,수급↑,15379,13841,17686,1.5,6.51,1,기타,5.58321554770318,65.7,66.5,🔺 Watch (상승 준비),① 강한 상승 추세
007660,이수페타시스,20251212,전자부품 제조업,135100,5285.3,57.4,53.3,-818.58908,23.0,-0.07,-6.18,87.9,65.18,1,,135100,121590,155365,1.5,0.0,0,기타,5.58321554770318,65.6,92.5,↩️ PULL (눌림),② 상승 후 조정
000250,삼천당제약,20251212,의약품 제조업,229000,392.7,62.4,57.0,-284.27543,18.7,6.02,5.77,8.27,-2.39,2,,220475,198427,253546,1.5,3.87,1,기타,5.58321554770318,65.6,77.0,↩️ PULL (눌림),③ 박스 / 중립
062040,산일전기,20251212,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",153000,633.1,65.6,86.5,214.35114,17.6,2.62,6.69,29.66,6.94,3,수급↑,142970,128673,164415,1.5,7.02,1,기타,5.58321554770318,65.6,64.4,🔺 Watch (상승 준비),⑤ 하락 / 약세
000660,SK하이닉스,20251212,반도체 제조업,571000,15118.3,64.2,47.9,171.14778,17.4,4.96,7.74,73.82,51.1,3,,553350,505064,625778,1.5,3.19,1,반도체,-1.4107692307692308,65.6,49.7,🔺 Watch (상승 준비),① 강한 상승 추세
