시장,종목명,종목코드,종가,거래대금(억원),시가총액(억원),RSI14,乖離%,MACD_hist,MACD_slope,Vol_Z,ret_5d_%,ret_10d_%,EBS,통과,근거,추천매수가,추천매도가1,추천매도가2,손절가
KOSPI,녹십자,006280,131900,56.52,15414.5,52.4,1.05,157.9591,83.7473,0.76,0.92,-0.6,5,초입,"RSI 45~65, MACD상승, MA20 근처, MACD>sig, 과열아님",131830,137050,142270,126610
KOSPI,GS피앤엘,499790,40350,54.18,8001.7,49.5,0.76,473.7994,66.42277,0.54,5.63,2.8,5,초입,"RSI 45~65, MACD상승, MA20 근처, MACD>sig, 과열아님",40350,41850,43360,38850
KOSPI,한화3우B,00088K,41800,52.33,8111.1,55.3,6.03,-82.0391,131.89291,1.45,0.6,-4.78,5,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, 과열아님",39820,41390,42970,38240
KOSDAQ,에코앤드림,101360,23400,52.23,4162.0,54.3,2.7,-132.0509,31.70299,0.85,0.21,-8.95,5,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, 과열아님",23010,23920,24840,22100
KOSDAQ,유니셈,036200,10190,51.76,3124.7,52.5,0.79,-55.1665,13.19931,0.78,2.72,-0.59,5,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, 과열아님",10190,10570,10960,9810
KOSDAQ,원익피앤이,217820,3440,50.67,1632.4,50.8,-4.02,-91.0619,7.29316,1.72,-5.1,-15.17,5,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, 과열아님",3440,3400,3370,3480
KOSPI,현대지에프홀딩스,005440,8440,50.28,13158.3,56.9,5.66,31.4379,40.42515,2.21,10.04,4.46,5,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig",8070,8390,8710,7750
KOSPI,삼성전자,005930,100600,23785.89,5955155.7,54.0,0.62,-1098.2644,-69.76281,0.88,-9.45,-1.37,4,초입,"RSI 45~65, MA20 근처, 상승구조, 과열아님",100600,104220,107840,96980
KOSDAQ,심텍,222800,53700,2699.33,18742.5,53.3,-6.07,-1002.9156,-737.85268,3.84,-15.83,-7.89,4,초입,"RSI 45~65, 거래량증가, 상승구조, 과열아님",53700,51940,50190,55460
KOSPI,NAVER,035420,260000,2539.38,407816.9,52.7,0.27,-529.2915,-517.5979,0.54,-5.28,3.59,4,초입,"RSI 45~65, MA20 근처, 상승구조, 과열아님",260000,268480,276960,251520
KOSPI,이수페타시스,007660,117100,2494.13,85962.2,75.2,20.49,810.3263,174.37047,1.09,1.3,22.23,4,초입,"MACD상승, 상승구조, MACD>sig, 과열아님",98160,102050,105940,94270
KOSPI,한화오션,042660,129600,2389.83,397111.8,57.0,2.68,-1012.0411,-70.30236,0.49,-6.63,-7.23,4,초입,"RSI 45~65, MA20 근처, 상승구조, 과열아님",127480,132530,137570,122430
KOSPI,에이피알,278470,220500,2047.98,82534.6,45.5,-9.92,-3168.6556,-1755.35665,1.52,-19.08,-9.07,4,초입,"RSI 45~65, 거래량증가, 상승구조, 과열아님",220500,203570,186640,237430
KOSPI,대덕전자,353200,47300,1863.42,23374.2,83.0,28.21,795.9608,190.11724,1.73,18.7,30.48,4,초입,"MACD상승, 거래량증가, 상승구조, MACD>sig",37260,38740,40210,35790
KOSPI,미래에셋증권,006800,23900,1634.97,136305.6,49.6,-1.27,-308.7045,-40.93027,1.35,-13.09,-7.36,4,초입,"RSI 45~65, 거래량증가, 상승구조, 과열아님",23900,24320,24740,23480
KOSPI,SK스퀘어,402340,290000,1597.04,384368.5,59.9,8.85,-1675.0142,913.51573,0.93,2.65,-0.51,4,초입,"RSI 45~65, MACD상승, 상승구조, 과열아님",269090,279750,290400,258430
KOSPI,하나금융지주,086790,96200,1577.04,267749.4,70.7,9.34,834.0681,354.09359,1.56,12.38,9.57,4,초입,"MACD상승, 거래량증가, 상승구조, MACD>sig",88860,92380,95900,85340
KOSPI,한화에어로스페이스,012450,965000,1454.47,497586.8,49.0,-1.49,-7133.5803,962.52634,0.69,-7.39,-7.12,4,초입,"RSI 45~65, MACD상승, 상승구조, 과열아님",965000,979790,994580,950210
KOSPI,LG에너지솔루션,373220,465500,1133.6,1089270.0,58.9,1.42,-4384.0818,-792.84934,0.45,-2.1,-5.96,4,초입,"RSI 45~65, MA20 근처, 상승구조, 과열아님",463560,481920,500280,445210
KOSPI,삼성중공업,010140,27050,1106.78,238040.0,63.9,4.0,-235.1511,-58.81326,0.46,-6.56,-7.04,4,초입,"RSI 45~65, MA20 근처, 상승구조, 과열아님",26270,27310,28350,25230
KOSPI,하이브,352820,305500,1048.66,128661.4,61.7,1.03,-98.2152,-1675.62194,1.0,-10.8,-1.29,4,초입,"RSI 45~65, MA20 근처, 상승구조, 과열아님",305420,317520,329620,293330
KOSPI,한국타이어앤테크놀로지,161390,58500,1022.39,72466.9,89.2,29.35,961.1194,629.47849,3.63,25.94,31.31,4,초입,"MACD상승, 거래량증가, 상승구조, MACD>sig",45680,47490,49300,43870
KOSDAQ,인벤티지랩,389470,59000,964.65,7297.8,85.1,28.08,1396.0008,158.81269,2.52,20.29,26.61,4,초입,"MACD상승, 거래량증가, 상승구조, MACD>sig",46530,48370,50210,44680
KOSDAQ,레인보우로보틱스,277810,404500,962.8,78472.4,62.5,7.18,2549.6821,-3199.01699,0.53,-16.68,18.27,4,초입,"RSI 45~65, 상승구조, MACD>sig, 과열아님",381170,396270,411370,366080
KOSPI,삼성물산,028260,224500,893.29,381597.3,62.7,4.69,-775.1797,308.1559,1.01,-0.88,4.18,4,초입,"RSI 45~65, MACD상승, 상승구조, 과열아님",216580,225160,233740,208010
KOSPI,삼성전기,009150,224000,843.77,167313.9,55.0,0.82,-1650.1451,-648.32986,0.65,-7.82,-1.97,4,초입,"RSI 45~65, MA20 근처, 상승구조, 과열아님",224000,232480,240960,215520
KOSDAQ,뉴로핏,380550,25100,831.21,2920.8,60.3,14.56,168.4133,55.72305,0.78,12.05,25.69,4,초입,"RSI 45~65, MACD상승, 상승구조, MACD>sig",22130,23000,23880,21250
KOSPI,산일전기,062040,147700,739.18,44967.6,62.5,2.22,-985.9784,-763.05704,0.44,-12.45,0.96,4,초입,"RSI 45~65, MA20 근처, 상승구조, 과열아님",145930,151710,157490,140160
KOSPI,포스코퓨처엠,003670,210000,661.7,186787.1,54.8,-0.25,-3593.8028,-431.61165,0.39,-4.33,-14.46,4,초입,"RSI 45~65, MA20 근처, 상승구조, 과열아님",210000,215800,221590,204200
KOSDAQ,펩트론,087010,278000,653.77,64822.2,52.0,4.73,2715.2412,515.86554,1.15,5.5,1.83,4,초입,"RSI 45~65, MACD상승, MACD>sig, 과열아님",268100,278720,289340,257490
KOSDAQ,YTN,040300,3970,636.35,1892.8,94.4,38.38,137.2594,33.32347,4.22,47.86,43.84,4,초입,"MACD상승, 거래량증가, 상승구조, MACD>sig",2900,3010,3130,2780
KOSPI,LG전자,066570,89600,626.33,145946.2,51.1,1.86,-243.6868,-1.59921,0.7,1.13,0.67,4,초입,"RSI 45~65, MA20 근처, 상승구조, 과열아님",88840,92360,95880,85330
