시장,종목명,종목코드,종가,거래대금(억원),시가총액(억원),RSI14,괴리_%,MACD_hist,MACD_slope,Vol_Z,ret_5d_%,ret_10d_%,EBS,근거,RS_slope20,RS_high50,VCP_ok,Pivot_near,Vol_breakout,UDVR_50,UDVR_ok,OBV_high,Weekly_pos,Regime_good,EBS_PLUS,HitProb_%(heuristic),추천매수가,추천매도가1,추천매도가2,손절가
KOSDAQ,레인보우로보틱스,277810,352000,992.53,68287.5,60.0,5.54,-432.0978,363.11233,0.43,5.86,2.47,4,"RSI 45~65, MACD↑, 상승구조, 5d<10%",-0.0643,False,False,True,False,1.73,True,True,True,True,47.3,32.6,342260,359720,373690,323520
KOSPI,현대위아,011210,56100,140.68,15256.4,78.1,7.19,448.3128,-114.29167,2.06,-0.88,8.93,4,"거래량↑, 상승구조, MACD>0, 5d<10%",-0.0384,False,False,False,True,1.78,True,True,True,True,47.3,32.6,53300,55230,56780,50760
KOSPI,현대모비스,012330,307000,971.0,281810.9,58.8,1.43,423.2563,-25.99861,2.28,0.33,-0.65,5,"RSI 45~65, MA20근접, 거래량↑, MACD>0, 5d<10%",-0.1337,False,False,True,True,1.27,False,False,True,True,46.9,32.2,307000,316040,323260,293590
KOSPI,다우기술,023590,39150,66.43,17565.3,63.0,9.02,436.0934,83.12454,2.48,13.81,11.06,5,"RSI 45~65, MACD↑, 거래량↑, 상승구조, MACD>0",-0.1013,False,False,True,True,0.93,False,False,True,True,46.9,32.2,36900,38870,40450,34830
KOSPI,한국화장품제조,003350,56000,258.88,2537.9,58.6,3.05,360.7902,200.3747,4.23,4.48,7.07,6,"RSI 45~65, MACD↑, MA20근접, 거래량↑, MACD>0, 5d<10%",-0.1856,False,False,False,True,1.32,True,True,False,True,46.5,31.9,55480,57750,59570,52710
KOSDAQ,원익IPS,240810,65000,429.15,31904.5,68.3,16.37,640.6903,-1.72215,-0.33,11.11,18.61,2,"상승구조, MACD>0",0.2147,False,False,True,False,2.28,True,False,True,True,45.4,30.9,57610,61120,63920,54180
KOSPI,후성,093370,8700,394.94,9331.2,70.5,23.48,298.3053,-77.53223,0.46,28.32,34.26,2,"상승구조, MACD>0",0.2193,False,False,False,True,2.86,True,False,True,True,45.4,30.9,7400,8100,8670,6830
KOSPI,두산우,000155,522000,366.6,20861.5,77.4,23.43,12961.2858,-1371.56666,1.16,18.37,30.5,2,"상승구조, MACD>0",0.2963,False,False,False,True,1.51,True,False,True,True,45.4,30.9,440020,474250,501630,410210
KOSDAQ,세명전기,017510,11390,341.98,1736.5,68.4,12.98,193.0464,-15.98071,0.26,1.15,14.82,2,"MACD>0, 5d<10%",0.0259,False,False,True,False,1.68,True,False,True,True,45.4,30.9,10470,11250,11880,9780
KOSDAQ,대한광통신,010170,1930,206.17,2547.3,69.7,17.26,18.5351,-0.01851,-0.17,16.69,6.51,2,"상승구조, MACD>0",0.1076,False,False,True,False,2.27,True,False,True,True,45.4,30.9,1740,1920,2060,1600
KOSDAQ,링크솔루션,474650,32100,67.28,1790.9,84.5,31.0,973.6887,-104.86389,-0.4,12.24,22.52,2,"상승구조, MACD>0",0.3673,False,False,True,False,3.29,True,False,True,True,45.4,30.9,25850,28560,30720,23770
KOSPI,삼성SDI우,006405,187300,56.59,3030.3,96.2,24.62,4703.0119,-273.47162,0.69,17.06,34.27,2,"상승구조, MACD>0",0.197,False,False,True,False,2.09,True,False,True,True,45.4,30.9,154970,164310,171790,145790
KOSPI,키움증권,039490,299500,753.3,79150.9,70.8,13.52,3544.9718,101.10269,1.19,14.31,17.45,3,"MACD↑, 상승구조, MACD>0",-0.0083,False,False,True,False,1.6,True,True,True,True,45.1,30.6,271560,287020,299390,255910
